date,vis_team,home_team,away_lineup,home_lineup
2025-04-02,COL,PHI,"['doylb001', 'tovae001', 'mcmar001', 'goodh001', 'bryak001', 'toglm001', 'martn003', 'farmk001', 'monim001']","['turnt001', 'harpb003', 'bohma001', 'schwk001', 'castn001', 'realj001', 'keplm001', 'sosae001', 'rojaj003']"
2025-04-02,CLE,SDN,"['kwans001', 'ramij003', 'manzk001', 'santc002', 'jonen002', 'thoml002', 'naylb001', 'ariag002', 'schnd002']","['tatif002', 'arral001', 'machm001', 'merrj002', 'cronj001', 'bogax001', 'sheeg001', 'iglej001', 'maldm001']"
2025-04-02,ANA,SLN,"['wardt002', 'rengl001', 'troum001', 'solej001', 'moncy001', 'schan001', 'ohopl001', 'adelj001', 'lopen001']","['nootl001', 'contw001', 'bakel001', 'arenn001', 'herri001', 'donob001', 'walkj003', 'scotv001', 'winnm001']"
2025-04-02,CHN,ATH,"['happi001', 'suzus001', 'tuckk001', 'turnj001', 'swand001', 'hoern001', 'crowp001', 'shawm002', 'kellc002']","['butll001', 'rookb001', 'bledj001', 'langs001', 'sodet001', 'wilsj006', 'brows003', 'urial001', 'muncm002']"
2025-04-02,BOS,BAL,"['duraj001', 'dever001', 'brega001', 'casat001', 'stort001', 'abrew002', 'campk002', 'wongc001', 'rafac001']","['westj002', 'rutsa001', 'oneit001', 'mounr001', 'laurr001', 'sancg002', 'uriar001', 'matej003', 'mullc002']"
2025-04-02,MIN,CHA,"['wallm001', 'corrc001', 'buxtb001', 'larnt001', 'frant002', 'castw003', 'julie001', 'badeh001', 'vazqc001']","['maton001', 'robel002', 'benia002', 'vargm001', 'thaim001', 'baldb001', 'jankt001', 'taylm002', 'amayj001']"
2025-04-02,SFN,HOU,"['ramoh002', 'adamw002', 'florw001', 'chapm001', 'schmc003', 'matol002', 'huffs001', 'yastm001', 'fitzt001']","['altuj001', 'parei001', 'alvay001', 'walkc002', 'diazy004', 'penaj004', 'rodgb002', 'dezez001', 'mccoc001']"
2025-04-02,ARI,NYA,"['martk001', 'carrc005', 'gurrl001', 'gricr001', 'naylj001', 'suare001', 'moreg001', 'mccaj003', 'perdg001']","['goldp001', 'bellc002', 'judga001', 'chisj001', 'volpa001', 'wella002', 'domij003', 'riceb001', 'cabro002']"
2025-04-02,DET,SEA,"['mckiz001', 'greer003', 'torks001', 'carpk001', 'keitc001', 'mallj001', 'sweet001', 'rogej004', 'kreir001']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'garvm001', 'solad001', 'moord002', 'blisr001', 'crawj002']"
2025-04-02,PIT,TBA,"['fraza001', 'reynb001', 'cruzo001', 'phamt001', 'suwij001', 'hayek001', 'rodre006', 'trioj001', 'kinei001']","['diazy001', 'loweb001', 'mangj001', 'camij001', 'aranj001', 'cabaj001', 'wallt003', 'rortb001', 'deluj001']"
2025-04-02,WAS,TOR,"['abrac001', 'rosaa003', 'ruizk001', 'woodj004', 'lowen001', 'bellj005', 'calla002', 'dejop001', 'crewd001']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'sprig001', 'cleme002', 'schnd001', 'heint001', 'stram002']"
2025-04-03,CIN,MIL,"['friet001', 'mclam001', 'delae003', 'encac001', 'candj002', 'dunnb001', 'stees001', 'espis001', 'trevj001']","['chouj001', 'yelic001', 'contw002', 'hoskr001', 'frels001', 'caprv001', 'colli001', 'ortij005', 'turab002']"
2025-04-03,COL,PHI,"['doylb001', 'tovae001', 'mcmar001', 'goodh001', 'toglm001', 'martn003', 'stalj001', 'monim001', 'freet001']","['schwk001', 'turnt001', 'harpb003', 'bohma001', 'keplm001', 'castn001', 'realj001', 'stotb001', 'marsb002']"
2025-04-03,BOS,BAL,"['duraj001', 'dever001', 'brega001', 'casat001', 'stort001', 'abrew002', 'campk002', 'narvc002', 'rafac001']","['mullc002', 'rutsa001', 'westj002', 'ohear001', 'oneit001', 'kjerh001', 'hollj003', 'uriar001', 'carld002']"
